Tipo_Colegio,Genero,Estrato_Vivienda,Puntaje_Global,Puntaje_Matematicas,Puntaje_Lectura
Oficial,Femenino,Estrato 2,263,55,55
Oficial,Masculino,Estrato 2,267,56,50
Oficial,Masculino,Estrato 1,311,46,65
Oficial,Femenino,Estrato 3,204,35,36
No Oficial,Femenino,Estrato 2,267,41,54
Oficial,Femenino,Estrato 3,167,33,29
Oficial,Masculino,Estrato 3,245,45,46
No Oficial,Femenino,Estrato 2,291,53,59
Oficial,Femenino,Estrato 1,254,76,53
Oficial,Femenino,Estrato 4,232,37,56
Oficial,Masculino,Estrato 3,249,49,57
Oficial,Masculino,Estrato 1,195,42,45
Oficial,Masculino,Estrato 3,279,58,58
Oficial,Masculino,Estrato 1,254,55,47
Oficial,Femenino,Estrato 1,259,54,56
No Oficial,Femenino,Estrato 2,298,56,67
Oficial,Femenino,Estrato 1,231,46,54
No Oficial,Femenino,Estrato 5,346,63,69
Oficial,Femenino,Estrato 4,308,55,59
Oficial,Masculino,Estrato 3,189,27,43
Oficial,Femenino,Estrato 1,187,43,20
Oficial,Femenino,Estrato 2,255,59,62
Oficial,Masculino,Estrato 2,231,41,54
No Oficial,Masculino,Estrato 2,293,57,56
Oficial,Femenino,Estrato 1,244,61,46
Oficial,Femenino,Estrato 2,269,62,68
No Oficial,Masculino,Estrato 2,290,65,50
Oficial,Femenino,Estrato 4,196,41,37
Oficial,Femenino,Estrato 4,213,37,54
Oficial,Femenino,Estrato 2,238,43,40
Oficial,Masculino,Estrato 3,194,40,39
Oficial,Masculino,Estrato 1,243,52,46
Oficial,Femenino,Estrato 1,247,41,63
No Oficial,Femenino,Estrato 4,274,64,50
Oficial,Masculino,Estrato 3,253,61,41
Oficial,Masculino,Estrato 1,180,42,37
No Oficial,Masculino,Estrato 2,251,62,46
Oficial,Masculino,Estrato 4,199,44,43
Oficial,Femenino,Estrato 2,280,58,59
Oficial,Femenino,Estrato 1,337,67,59
No Oficial,Masculino,Estrato 4,339,65,80
Oficial,Masculino,Estrato 2,235,46,42
Oficial,Femenino,Estrato 2,217,35,39
Oficial,Masculino,Estrato 2,253,49,54
Oficial,Femenino,Estrato 4,220,34,55
No Oficial,Femenino,Estrato 3,281,49,47
No Oficial,Femenino,Estrato 2,272,64,51
Oficial,Masculino,Estrato 1,196,48,45
Oficial,Masculino,Estrato 2,255,44,46
Oficial,Femenino,Estrato 1,173,41,35
No Oficial,Masculino,Estrato 1,292,53,55
Oficial,Masculino,Estrato 2,232,41,49
Oficial,Femenino,Estrato 1,235,58,38
Oficial,Femenino,Estrato 5,232,37,48
Oficial,Femenino,Estrato 1,225,30,48
Oficial,Masculino,Estrato 2,234,41,51
Oficial,Femenino,Estrato 1,254,45,47
Oficial,Femenino,Estrato 3,255,48,61
No Oficial,Masculino,Estrato 1,211,28,27
Oficial,Femenino,Estrato 2,222,47,39
Oficial,Masculino,Estrato 3,288,72,74
Oficial,Masculino,Estrato 5,306,63,61
Oficial,Masculino,Estrato 3,193,36,46
Oficial,Femenino,Estrato 1,251,55,51
Oficial,Femenino,Estrato 1,226,45,57
Oficial,Masculino,Estrato 3,282,56,55
Oficial,Masculino,Estrato 1,244,48,50
Oficial,Masculino,Estrato 2,247,51,55
Oficial,Masculino,Estrato 5,264,49,63
No Oficial,Masculino,Estrato 3,272,41,41
Oficial,Masculino,Estrato 3,312,77,66
No Oficial,Masculino,Estrato 4,273,58,48
Oficial,Femenino,Estrato 3,282,50,56
Oficial,Femenino,Estrato 3,236,50,43
Oficial,Femenino,Estrato 2,240,38,32
Oficial,Masculino,Estrato 6,277,58,62
No Oficial,Masculino,Estrato 2,356,77,62
Oficial,Masculino,Estrato 2,195,47,38
No Oficial,Masculino,Estrato 2,319,68,63
Oficial,Masculino,Estrato 1,263,51,47
Oficial,Femenino,Estrato 2,239,55,52
Oficial,Femenino,Estrato 2,260,47,49
Oficial,Masculino,Estrato 2,241,50,43
Oficial,Masculino,Estrato 2,155,25,20
Oficial,Femenino,Estrato 2,192,40,31
Oficial,Masculino,Estrato 1,283,68,59
Oficial,Femenino,Estrato 2,235,53,33
Oficial,Femenino,Estrato 3,252,57,62
No Oficial,Femenino,Estrato 2,275,63,53
No Oficial,Masculino,Estrato 2,301,59,54
Oficial,Masculino,Estrato 2,226,38,49
Oficial,Masculino,Estrato 4,258,36,48
Oficial,Femenino,Estrato 3,262,43,58
No Oficial,Femenino,Estrato 1,269,54,46
Oficial,Femenino,Estrato 4,225,28,38
Oficial,Femenino,Estrato 3,311,63,66
No Oficial,Femenino,Estrato 3,246,53,57
Oficial,Femenino,Estrato 2,264,40,54
Oficial,Femenino,Estrato 3,252,57,52
Oficial,Femenino,Estrato 2,239,44,41
Oficial,Femenino,Estrato 3,244,35,45
Oficial,Masculino,Estrato 4,220,30,39
Oficial,Femenino,Estrato 4,281,55,65
Oficial,Masculino,Estrato 2,211,42,51
Oficial,Masculino,Estrato 4,257,51,55
No Oficial,Femenino,Estrato 1,340,76,82
Oficial,Femenino,Estrato 1,300,60,64
Oficial,Femenino,Estrato 2,283,51,64
Oficial,Masculino,Estrato 3,267,50,51
No Oficial,Femenino,Estrato 1,304,69,59
Oficial,Masculino,Estrato 2,213,33,41
Oficial,Femenino,Estrato 1,199,41,33
No Oficial,Masculino,Estrato 3,263,54,49
No Oficial,Femenino,Estrato 4,305,69,63
Oficial,Femenino,Estrato 3,215,43,38
No Oficial,Masculino,Estrato 2,273,46,58
Oficial,Femenino,Estrato 6,221,45,39
Oficial,Femenino,Estrato 3,248,55,44
Oficial,Masculino,Estrato 3,234,47,46
Oficial,Masculino,Estrato 3,188,46,23
Oficial,Masculino,Estrato 6,288,47,65
Oficial,Masculino,Estrato 3,272,53,59
Oficial,Femenino,Estrato 2,277,55,61
Oficial,Femenino,Estrato 2,268,59,58
No Oficial,Masculino,Estrato 3,330,73,65
Oficial,Masculino,Estrato 2,215,43,44
Oficial,Femenino,Estrato 3,263,49,55
Oficial,Masculino,Estrato 2,306,62,51
No Oficial,Masculino,Estrato 2,276,46,56
Oficial,Masculino,Estrato 2,284,52,54
No Oficial,Femenino,Estrato 3,254,55,63
Oficial,Femenino,Estrato 3,288,60,56
Oficial,Femenino,Estrato 1,228,40,44
Oficial,Masculino,Estrato 1,254,44,42
Oficial,Femenino,Estrato 1,230,39,43
Oficial,Femenino,Estrato 1,280,50,41
No Oficial,Femenino,Estrato 1,266,54,66
Oficial,Masculino,Estrato 3,185,46,41
Oficial,Femenino,Estrato 4,298,70,57
No Oficial,Femenino,Estrato 2,326,57,68
Oficial,Masculino,Estrato 2,230,48,39
No Oficial,Masculino,Estrato 3,355,73,69
Oficial,Femenino,Estrato 5,294,60,51
Oficial,Femenino,Estrato 4,247,41,38
Oficial,Femenino,Estrato 1,244,42,54
Oficial,Femenino,Estrato 1,320,66,63
No Oficial,Femenino,Estrato 1,296,56,47
Oficial,Masculino,Estrato 3,213,43,36
Oficial,Masculino,Estrato 3,261,44,61
Oficial,Femenino,Estrato 2,180,32,30
Oficial,Masculino,Estrato 4,230,35,50
No Oficial,Masculino,Estrato 2,319,65,58
Oficial,Femenino,Estrato 6,283,53,58
Oficial,Femenino,Estrato 1,272,56,58
No Oficial,Masculino,Estrato 1,279,52,51
Oficial,Masculino,Estrato 2,217,45,42
No Oficial,Masculino,Estrato 1,275,69,57
Oficial,Masculino,Estrato 3,236,43,43
Oficial,Femenino,Estrato 1,201,44,38
Oficial,Masculino,Estrato 3,263,47,45
Oficial,Femenino,Estrato 1,217,42,44
No Oficial,Femenino,Estrato 2,264,56,60
Oficial,Femenino,Estrato 3,244,51,40
Oficial,Masculino,Estrato 5,206,46,36
Oficial,Femenino,Estrato 2,300,67,45
Oficial,Masculino,Estrato 5,301,65,63
Oficial,Masculino,Estrato 3,256,58,40
No Oficial,Femenino,Estrato 2,338,69,71
Oficial,Femenino,Estrato 3,202,34,44
Oficial,Femenino,Estrato 2,287,63,63
Oficial,Masculino,Estrato 2,277,52,57
Oficial,Masculino,Estrato 3,212,47,31
Oficial,Femenino,Estrato 2,217,33,42
Oficial,Femenino,Estrato 1,263,49,53
No Oficial,Femenino,Estrato 1,222,38,48
Oficial,Femenino,Estrato 3,219,46,47
Oficial,Masculino,Estrato 3,203,35,37
Oficial,Femenino,Estrato 2,204,40,40
No Oficial,Masculino,Estrato 4,301,59,59
Oficial,Femenino,Estrato 2,281,64,47
Oficial,Femenino,Estrato 3,174,38,28
Oficial,Femenino,Estrato 4,262,54,51
Oficial,Femenino,Estrato 3,255,51,45
Oficial,Masculino,Estrato 2,283,50,46
Oficial,Femenino,Estrato 3,255,43,40
Oficial,Masculino,Estrato 2,229,48,50
Oficial,Masculino,Estrato 3,212,31,44
No Oficial,Masculino,Estrato 2,247,49,50
No Oficial,Femenino,Estrato 2,295,59,56
Oficial,Masculino,Estrato 1,225,33,40
Oficial,Masculino,Estrato 1,281,55,42
Oficial,Femenino,Estrato 2,227,45,49
Oficial,Femenino,Estrato 4,244,65,45
Oficial,Masculino,Estrato 1,220,44,48
Oficial,Masculino,Estrato 1,266,60,46
Oficial,Femenino,Estrato 2,205,44,52
No Oficial,Femenino,Estrato 3,233,48,47
Oficial,Masculino,Estrato 1,218,50,42
Oficial,Femenino,Estrato 1,255,39,43
No Oficial,Femenino,Estrato 2,326,64,66
Oficial,Femenino,Estrato 3,200,42,44
Oficial,Femenino,Estrato 1,261,44,36
Oficial,Femenino,Estrato 2,185,36,36
Oficial,Femenino,Estrato 3,332,67,65
No Oficial,Masculino,Estrato 1,257,50,54
Oficial,Femenino,Estrato 1,286,50,45
Oficial,Femenino,Estrato 2,253,44,56
No Oficial,Masculino,Estrato 5,344,66,73
No Oficial,Femenino,Estrato 2,240,51,53
No Oficial,Masculino,Estrato 2,228,46,40
Oficial,Masculino,Estrato 2,246,50,57
Oficial,Masculino,Estrato 4,263,50,46
No Oficial,Femenino,Estrato 1,306,54,46
No Oficial,Femenino,Estrato 2,310,59,64
Oficial,Masculino,Estrato 3,209,35,41
Oficial,Femenino,Estrato 6,238,23,56
Oficial,Masculino,Estrato 3,228,45,38
No Oficial,Femenino,Estrato 2,330,63,63
Oficial,Femenino,Estrato 2,250,59,46
Oficial,Femenino,Estrato 2,259,57,57
Oficial,Femenino,Estrato 3,255,54,43
Oficial,Masculino,Estrato 3,240,40,56
No Oficial,Femenino,Estrato 3,304,68,55
Oficial,Femenino,Estrato 2,254,51,47
No Oficial,Masculino,Estrato 3,278,52,55
No Oficial,Femenino,Estrato 4,299,53,52
Oficial,Femenino,Estrato 4,292,53,61
Oficial,Masculino,Estrato 3,196,37,41
Oficial,Femenino,Estrato 3,232,38,42
No Oficial,Femenino,Estrato 2,345,69,70
Oficial,Femenino,Estrato 1,181,34,38
Oficial,Masculino,Estrato 1,300,65,63
No Oficial,Masculino,Estrato 2,260,50,59
Oficial,Masculino,Estrato 1,283,42,59
No Oficial,Femenino,Estrato 2,318,61,66
Oficial,Femenino,Estrato 3,261,43,44
Oficial,Femenino,Estrato 2,155,26,20
Oficial,Masculino,Estrato 1,250,42,46
No Oficial,Masculino,Estrato 1,317,80,65
Oficial,Femenino,Estrato 1,201,37,43
No Oficial,Femenino,Estrato 1,185,42,19
No Oficial,Femenino,Estrato 6,257,48,52
Oficial,Femenino,Estrato 2,195,37,46
No Oficial,Femenino,Estrato 2,276,51,71
Oficial,Femenino,Estrato 1,255,45,61
Oficial,Femenino,Estrato 3,299,54,56
Oficial,Masculino,Estrato 3,246,52,45
No Oficial,Femenino,Estrato 1,309,61,65
Oficial,Femenino,Estrato 4,247,60,55
Oficial,Masculino,Estrato 3,285,55,64
Oficial,Masculino,Estrato 1,163,30,36
Oficial,Masculino,Estrato 2,280,56,47
Oficial,Femenino,Estrato 2,271,59,44
No Oficial,Masculino,Estrato 2,247,50,59
No Oficial,Masculino,Estrato 3,327,76,64
Oficial,Femenino,Estrato 1,233,67,39
No Oficial,Masculino,Estrato 2,280,62,48
Oficial,Femenino,Estrato 2,293,61,54
No Oficial,Femenino,Estrato 2,266,37,64
Oficial,Femenino,Estrato 4,176,46,33
Oficial,Masculino,Estrato 1,344,78,73
Oficial,Masculino,Estrato 1,271,66,56
No Oficial,Masculino,Estrato 3,346,75,68
Oficial,Femenino,Estrato 1,292,50,44
Oficial,Femenino,Estrato 1,282,48,62
Oficial,Masculino,Estrato 2,264,44,47
Oficial,Femenino,Estrato 1,225,45,33
Oficial,Masculino,Estrato 2,271,48,41
Oficial,Femenino,Estrato 2,288,64,61
No Oficial,Femenino,Estrato 1,301,55,65
Oficial,Femenino,Estrato 2,253,47,34
Oficial,Femenino,Estrato 1,256,53,47
Oficial,Femenino,Estrato 5,255,47,53
No Oficial,Femenino,Estrato 2,363,65,73
No Oficial,Femenino,Estrato 3,266,38,49
Oficial,Femenino,Estrato 3,236,54,46
Oficial,Femenino,Estrato 2,244,41,55
Oficial,Femenino,Estrato 3,257,48,54
Oficial,Femenino,Estrato 3,237,44,51
No Oficial,Femenino,Estrato 1,304,44,57
Oficial,Femenino,Estrato 6,253,52,41
Oficial,Masculino,Estrato 1,254,62,52
Oficial,Masculino,Estrato 1,230,53,51
No Oficial,Masculino,Estrato 3,262,49,47
Oficial,Femenino,Estrato 1,117,31,25
Oficial,Masculino,Estrato 3,293,44,58
Oficial,Femenino,Estrato 4,281,62,44
No Oficial,Femenino,Estrato 5,366,67,72
Oficial,Femenino,Estrato 2,217,51,44
Oficial,Masculino,Estrato 5,302,60,57
Oficial,Femenino,Estrato 2,198,29,47
Oficial,Femenino,Estrato 1,264,54,44
Oficial,Femenino,Estrato 2,225,45,60
Oficial,Masculino,Estrato 3,261,54,52
Oficial,Femenino,Estrato 2,247,42,48
Oficial,Femenino,Estrato 2,233,37,53
Oficial,Femenino,Estrato 2,260,56,41
No Oficial,Femenino,Estrato 2,282,55,72
Oficial,Femenino,Estrato 5,173,39,29
No Oficial,Femenino,Estrato 2,306,65,67
Oficial,Femenino,Estrato 2,203,46,40
Oficial,Femenino,Estrato 3,180,48,28
Oficial,Femenino,Estrato 2,259,53,58
Oficial,Masculino,Estrato 3,238,39,51
Oficial,Masculino,Estrato 1,259,45,73
Oficial,Masculino,Estrato 2,265,50,55
Oficial,Masculino,Estrato 1,275,56,50
No Oficial,Masculino,Estrato 1,290,69,45
Oficial,Masculino,Estrato 3,205,39,35
No Oficial,Femenino,Estrato 2,317,76,65
Oficial,Masculino,Estrato 4,253,64,47
Oficial,Masculino,Estrato 2,332,69,71
Oficial,Femenino,Estrato 2,245,54,51
Oficial,Femenino,Estrato 3,260,48,43
Oficial,Femenino,Estrato 3,241,61,45
Oficial,Femenino,Estrato 3,246,44,43
Oficial,Masculino,Estrato 3,244,58,51
Oficial,Masculino,Estrato 1,227,37,48
Oficial,Masculino,Estrato 3,252,55,46
No Oficial,Masculino,Estrato 2,301,69,48
No Oficial,Masculino,Estrato 2,278,62,75
No Oficial,Femenino,Estrato 4,249,46,52
No Oficial,Masculino,Estrato 2,267,51,55
Oficial,Masculino,Estrato 3,209,54,28
Oficial,Masculino,Estrato 2,206,37,46
No Oficial,Femenino,Estrato 1,235,43,54
Oficial,Masculino,Estrato 2,221,56,46
Oficial,Masculino,Estrato 2,203,40,41
Oficial,Masculino,Estrato 2,313,62,63
Oficial,Masculino,Estrato 2,206,55,34
Oficial,Masculino,Estrato 3,184,31,31
No Oficial,Femenino,Estrato 1,338,61,65
Oficial,Masculino,Estrato 2,254,52,58
Oficial,Femenino,Estrato 3,247,49,51
No Oficial,Femenino,Estrato 4,247,43,44
Oficial,Femenino,Estrato 2,214,49,38
Oficial,Masculino,Estrato 4,254,50,35
Oficial,Masculino,Estrato 1,290,58,61
Oficial,Masculino,Estrato 1,218,43,42
No Oficial,Femenino,Estrato 3,243,40,49
Oficial,Femenino,Estrato 4,171,27,55
No Oficial,Masculino,Estrato 1,301,47,57
Oficial,Femenino,Estrato 1,284,65,58
No Oficial,Femenino,Estrato 1,235,47,42
No Oficial,Femenino,Estrato 2,255,58,49
No Oficial,Masculino,Estrato 3,322,60,57
Oficial,Femenino,Estrato 2,193,47,30
No Oficial,Masculino,Estrato 2,254,37,38
Oficial,Femenino,Estrato 2,298,67,52
Oficial,Masculino,Estrato 4,247,48,51
No Oficial,Masculino,Estrato 1,273,43,52
Oficial,Femenino,Estrato 3,247,26,47
No Oficial,Femenino,Estrato 4,268,57,50
Oficial,Masculino,Estrato 1,265,60,54
Oficial,Masculino,Estrato 3,249,50,50
Oficial,Femenino,Estrato 3,160,36,32
Oficial,Femenino,Estrato 1,270,57,51
Oficial,Femenino,Estrato 1,274,55,59
Oficial,Femenino,Estrato 3,195,46,24
Oficial,Masculino,Estrato 2,198,27,34
Oficial,Femenino,Estrato 2,265,53,47
Oficial,Femenino,Estrato 1,252,55,54
Oficial,Femenino,Estrato 3,166,29,29
Oficial,Masculino,Estrato 2,212,44,35
Oficial,Femenino,Estrato 2,257,41,52
Oficial,Femenino,Estrato 2,272,55,60
No Oficial,Femenino,Estrato 3,266,47,58
No Oficial,Femenino,Estrato 1,196,35,45
Oficial,Femenino,Estrato 1,209,46,42
Oficial,Femenino,Estrato 1,297,45,61
No Oficial,Masculino,Estrato 1,214,34,40
Oficial,Masculino,Estrato 1,218,49,41
Oficial,Femenino,Estrato 3,198,38,32
Oficial,Femenino,Estrato 3,194,32,43
No Oficial,Masculino,Estrato 3,338,71,55
Oficial,Femenino,Estrato 2,238,38,38
Oficial,Masculino,Estrato 1,229,36,58
No Oficial,Masculino,Estrato 5,248,47,48
No Oficial,Femenino,Estrato 1,219,42,44
Oficial,Femenino,Estrato 3,240,42,39
Oficial,Masculino,Estrato 4,246,47,52
No Oficial,Femenino,Estrato 3,301,70,69
Oficial,Femenino,Estrato 1,194,38,48
Oficial,Femenino,Estrato 2,280,46,45
Oficial,Masculino,Estrato 1,222,44,52
No Oficial,Femenino,Estrato 3,340,51,68
Oficial,Masculino,Estrato 3,216,56,25
No Oficial,Masculino,Estrato 3,290,48,47
No Oficial,Femenino,Estrato 1,279,57,42
Oficial,Femenino,Estrato 3,280,57,60
Oficial,Masculino,Estrato 3,216,36,41
Oficial,Femenino,Estrato 1,171,44,29
Oficial,Femenino,Estrato 2,203,57,39
Oficial,Femenino,Estrato 3,227,39,57
No Oficial,Femenino,Estrato 2,254,56,48
Oficial,Masculino,Estrato 1,221,36,46
No Oficial,Femenino,Estrato 1,246,59,53
Oficial,Masculino,Estrato 3,244,58,40
Oficial,Femenino,Estrato 1,186,45,41
Oficial,Masculino,Estrato 1,268,40,60
Oficial,Masculino,Estrato 3,311,57,69
Oficial,Femenino,Estrato 3,302,56,59
Oficial,Masculino,Estrato 3,221,39,50
Oficial,Masculino,Estrato 2,271,64,57
Oficial,Femenino,Estrato 2,267,38,53
Oficial,Femenino,Estrato 3,243,51,55
Oficial,Femenino,Estrato 5,252,56,62
Oficial,Masculino,Estrato 1,272,48,60
No Oficial,Masculino,Estrato 1,282,60,55
Oficial,Masculino,Estrato 1,212,45,38
Oficial,Femenino,Estrato 3,274,52,58
Oficial,Femenino,Estrato 2,311,70,63
Oficial,Masculino,Estrato 1,280,51,63
Oficial,Masculino,Estrato 2,306,69,54
Oficial,Masculino,Estrato 1,141,29,35
Oficial,Masculino,Estrato 2,268,51,43
Oficial,Masculino,Estrato 5,255,49,49
Oficial,Femenino,Estrato 3,286,46,61
Oficial,Masculino,Estrato 1,199,36,39
Oficial,Femenino,Estrato 2,224,35,47
No Oficial,Femenino,Estrato 1,251,52,59
Oficial,Masculino,Estrato 3,202,47,36
Oficial,Femenino,Estrato 2,254,54,40
Oficial,Femenino,Estrato 6,244,43,40
Oficial,Masculino,Estrato 3,237,45,46
Oficial,Femenino,Estrato 2,267,55,62
Oficial,Masculino,Estrato 3,200,42,37
Oficial,Femenino,Estrato 3,213,55,57
Oficial,Femenino,Estrato 1,239,52,38
Oficial,Femenino,Estrato 2,196,40,26
Oficial,Femenino,Estrato 2,294,59,60
Oficial,Femenino,Estrato 2,213,39,38
Oficial,Femenino,Estrato 1,276,55,49
Oficial,Femenino,Estrato 1,209,47,41
No Oficial,Masculino,Estrato 2,277,49,46
Oficial,Femenino,Estrato 1,180,39,39
Oficial,Masculino,Estrato 4,301,59,61
Oficial,Masculino,Estrato 3,290,71,55
No Oficial,Femenino,Estrato 3,281,58,57
Oficial,Masculino,Estrato 2,211,44,55
Oficial,Masculino,Estrato 3,263,45,50
Oficial,Femenino,Estrato 6,183,48,33
Oficial,Masculino,Estrato 2,246,53,53
Oficial,Masculino,Estrato 3,212,53,37
Oficial,Femenino,Estrato 2,234,45,50
No Oficial,Femenino,Estrato 4,247,49,55
Oficial,Femenino,Estrato 4,213,31,52
Oficial,Femenino,Estrato 4,313,77,60
No Oficial,Femenino,Estrato 1,259,54,42
Oficial,Femenino,Estrato 2,185,51,35
Oficial,Femenino,Estrato 1,209,39,43
Oficial,Femenino,Estrato 2,279,59,51
Oficial,Femenino,Estrato 2,283,64,57
Oficial,Masculino,Estrato 2,189,40,50
No Oficial,Masculino,Estrato 3,308,58,57
Oficial,Masculino,Estrato 2,255,47,45
Oficial,Femenino,Estrato 4,167,30,39
Oficial,Masculino,Estrato 1,228,66,36
No Oficial,Femenino,Estrato 2,289,52,57
No Oficial,Femenino,Estrato 3,322,48,60
No Oficial,Femenino,Estrato 3,252,50,38
Oficial,Masculino,Estrato 1,214,42,41
Oficial,Femenino,Estrato 3,220,41,39
Oficial,Masculino,Estrato 2,223,39,48
Oficial,Femenino,Estrato 4,224,42,46
Oficial,Femenino,Estrato 4,239,37,49
Oficial,Masculino,Estrato 2,257,65,44
Oficial,Femenino,Estrato 4,315,64,59
Oficial,Masculino,Estrato 3,279,56,57
Oficial,Femenino,Estrato 5,297,67,53
Oficial,Masculino,Estrato 4,225,66,44
Oficial,Masculino,Estrato 3,204,37,43
Oficial,Masculino,Estrato 2,277,57,60
Oficial,Masculino,Estrato 1,244,55,45
No Oficial,Femenino,Estrato 4,300,65,57
Oficial,Femenino,Estrato 3,209,49,43
Oficial,Femenino,Estrato 2,270,61,48
Oficial,Masculino,Estrato 2,237,44,37
No Oficial,Masculino,Estrato 3,289,67,60
Oficial,Femenino,Estrato 2,230,45,44
Oficial,Masculino,Estrato 1,264,55,56
Oficial,Femenino,Estrato 1,275,59,50
Oficial,Femenino,Estrato 3,230,40,46
Oficial,Masculino,Estrato 2,258,55,38
Oficial,Femenino,Estrato 2,258,56,55
No Oficial,Femenino,Estrato 3,263,37,48
Oficial,Femenino,Estrato 3,284,68,55
No Oficial,Masculino,Estrato 1,310,55,60
Oficial,Masculino,Estrato 1,226,47,42
Oficial,Masculino,Estrato 2,303,72,61
No Oficial,Masculino,Estrato 3,234,52,46
Oficial,Masculino,Estrato 1,201,48,41
Oficial,Femenino,Estrato 2,218,52,34
Oficial,Femenino,Estrato 4,263,48,58
Oficial,Femenino,Estrato 4,273,46,53
Oficial,Masculino,Estrato 2,204,44,43
Oficial,Femenino,Estrato 1,214,48,41
Oficial,Masculino,Estrato 2,223,53,37
Oficial,Femenino,Estrato 1,210,48,59
Oficial,Femenino,Estrato 1,169,29,34
Oficial,Femenino,Estrato 2,156,38,20
Oficial,Femenino,Estrato 2,229,28,45
Oficial,Femenino,Estrato 1,255,61,48
Oficial,Masculino,Estrato 4,271,47,53
Oficial,Masculino,Estrato 3,190,30,26
No Oficial,Masculino,Estrato 2,271,74,54
Oficial,Masculino,Estrato 6,223,45,38
Oficial,Femenino,Estrato 3,245,46,59
Oficial,Masculino,Estrato 4,285,47,56
Oficial,Femenino,Estrato 2,273,58,59
Oficial,Masculino,Estrato 1,230,52,52
No Oficial,Masculino,Estrato 2,328,62,68
Oficial,Femenino,Estrato 2,211,25,43
No Oficial,Masculino,Estrato 1,353,83,78
No Oficial,Femenino,Estrato 3,316,60,58
No Oficial,Femenino,Estrato 1,273,52,59
No Oficial,Masculino,Estrato 3,296,58,56
Oficial,Femenino,Estrato 2,214,36,43
Oficial,Masculino,Estrato 3,214,52,34
Oficial,Femenino,Estrato 2,231,52,37
Oficial,Femenino,Estrato 5,182,40,35
Oficial,Masculino,Estrato 2,235,65,54
Oficial,Femenino,Estrato 6,239,42,46
Oficial,Masculino,Estrato 1,263,62,64
Oficial,Femenino,Estrato 3,269,36,56
Oficial,Femenino,Estrato 2,248,54,48
Oficial,Femenino,Estrato 3,179,53,46
Oficial,Femenino,Estrato 3,196,30,48
No Oficial,Masculino,Estrato 3,355,84,61
Oficial,Femenino,Estrato 1,271,43,53
Oficial,Masculino,Estrato 3,269,70,57
Oficial,Femenino,Estrato 1,235,43,52
Oficial,Masculino,Estrato 1,339,61,72
Oficial,Femenino,Estrato 1,307,57,60
Oficial,Femenino,Estrato 2,294,59,56
Oficial,Femenino,Estrato 3,273,53,53
Oficial,Masculino,Estrato 1,263,52,47
Oficial,Femenino,Estrato 1,260,54,42
Oficial,Femenino,Estrato 3,172,36,38
Oficial,Femenino,Estrato 6,202,40,44
Oficial,Masculino,Estrato 3,236,43,59
Oficial,Femenino,Estrato 3,250,53,45
No Oficial,Masculino,Estrato 2,287,60,59
Oficial,Masculino,Estrato 3,255,53,49
Oficial,Masculino,Estrato 5,160,31,30
Oficial,Masculino,Estrato 2,265,47,48
Oficial,Masculino,Estrato 2,247,49,49
Oficial,Masculino,Estrato 4,237,45,57
Oficial,Masculino,Estrato 5,282,39,53
No Oficial,Femenino,Estrato 1,220,51,46
Oficial,Femenino,Estrato 2,235,49,42
Oficial,Masculino,Estrato 3,256,51,40
Oficial,Femenino,Estrato 2,210,46,40
Oficial,Femenino,Estrato 2,164,26,46
Oficial,Femenino,Estrato 3,198,50,33
Oficial,Masculino,Estrato 2,242,58,41
No Oficial,Masculino,Estrato 2,287,48,51
Oficial,Femenino,Estrato 6,244,43,61
Oficial,Masculino,Estrato 3,218,49,51
No Oficial,Masculino,Estrato 4,311,64,66
Oficial,Masculino,Estrato 3,250,49,59
No Oficial,Masculino,Estrato 3,223,48,50
Oficial,Femenino,Estrato 3,270,39,53
No Oficial,Masculino,Estrato 2,220,36,40
Oficial,Femenino,Estrato 3,164,27,40
No Oficial,Femenino,Estrato 2,267,59,54
No Oficial,Femenino,Estrato 3,332,49,59
Oficial,Masculino,Estrato 1,250,51,53
No Oficial,Masculino,Estrato 2,336,64,64
Oficial,Femenino,Estrato 2,222,49,52
Oficial,Masculino,Estrato 3,181,42,29
Oficial,Femenino,Estrato 5,169,47,37
Oficial,Masculino,Estrato 5,259,42,52
Oficial,Femenino,Estrato 1,235,40,48
Oficial,Femenino,Estrato 2,230,46,47
Oficial,Femenino,Estrato 1,183,47,35
No Oficial,Femenino,Estrato 2,351,73,73
No Oficial,Masculino,Estrato 3,259,52,53
Oficial,Masculino,Estrato 4,256,60,52
Oficial,Masculino,Estrato 1,238,44,56
Oficial,Masculino,Estrato 2,300,69,50
Oficial,Femenino,Estrato 1,221,58,48
Oficial,Masculino,Estrato 2,296,57,60
Oficial,Masculino,Estrato 3,253,38,54
Oficial,Femenino,Estrato 3,249,50,54
No Oficial,Masculino,Estrato 3,259,64,56
Oficial,Femenino,Estrato 2,220,47,41
Oficial,Masculino,Estrato 2,231,35,41
Oficial,Masculino,Estrato 1,196,49,42
Oficial,Femenino,Estrato 1,282,62,66
Oficial,Femenino,Estrato 3,258,59,50
Oficial,Masculino,Estrato 3,288,66,50
Oficial,Masculino,Estrato 3,253,46,56
Oficial,Masculino,Estrato 1,289,66,51
No Oficial,Masculino,Estrato 3,252,45,52
No Oficial,Masculino,Estrato 1,319,54,56
Oficial,Femenino,Estrato 1,229,39,43
Oficial,Masculino,Estrato 2,245,54,48
Oficial,Masculino,Estrato 2,274,51,52
Oficial,Femenino,Estrato 3,338,79,69
